Sample.ID	Alignment	Genotype	TF	Cell_Type	Replicate	Collection_time.h	Condition	Type	TF_type	Sample	Set	umi_bam_path
284087	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	1	0h	Foxp3_0h_1	ctr	Foxp3_ctr	Foxp3_0h_1	rTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284087_dedup/284087.umi_dedup.sorted.bam
284088	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	2	0h	Foxp3_0h_2	ctr	Foxp3_ctr	Foxp3_0h_2	rTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284088_dedup/284088.umi_dedup.sorted.bam
284089	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	3	0h	Foxp3_0h_3	ctr	Foxp3_ctr	Foxp3_0h_3	rTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284089_dedup/284089.umi_dedup.sorted.bam
284090	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	4	0h	Foxp3_0h_4	ctr	Foxp3_ctr	Foxp3_0h_4	rTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284090_dedup/284090.umi_dedup.sorted.bam
284091	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	5	0h	Foxp3_0h_5	ctr	Foxp3_ctr	Foxp3_0h_5	rTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284091_dedup/284091.umi_dedup.sorted.bam
284092	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	6	0h	Foxp3_0h_6	ctr	Foxp3_ctr	Foxp3_0h_6	rTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284092_dedup/284092.umi_dedup.sorted.bam
284093	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	1	6h	Foxp3_6h_1	exp	Foxp3_exp	Foxp3_6h_1	rTreg_Fxp3AIDTIRF74G_6h_exp	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284093_dedup/284093.umi_dedup.sorted.bam
284094	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	2	6h	Foxp3_6h_2	exp	Foxp3_exp	Foxp3_6h_2	rTreg_Fxp3AIDTIRF74G_6h_exp	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284094_dedup/284094.umi_dedup.sorted.bam
284095	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	3	6h	Foxp3_6h_3	exp	Foxp3_exp	Foxp3_6h_3	rTreg_Fxp3AIDTIRF74G_6h_exp	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284095_dedup/284095.umi_dedup.sorted.bam
284096	20240311	Fxp3AIDTIRF74G	Foxp3	rTreg	4	6h	Foxp3_6h_4	exp	Foxp3_exp	Foxp3_6h_4	rTreg_Fxp3AIDTIRF74G_6h_exp	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284096_dedup/284096.umi_dedup.sorted.bam
